ticker,company_name,sources,investor_count,aggregate_activity,fundamentals_pe_ratio,fundamentals_forward_pe,fundamentals_pb_ratio,fundamentals_peg_ratio,fundamentals_week_52_high,fundamentals_week_52_low,fundamentals_pct_above_52w_low,fundamentals_pct_below_52w_high,fundamentals_current_price,fundamentals_previous_close,fundamentals_total_cash,fundamentals_total_debt,fundamentals_long_term_debt,fundamentals_net_debt,fundamentals_market_cap,fundamentals_insider_pct,fundamentals_institutional_pct,fundamentals_sector,fundamentals_industry,fundamentals_country,fundamentals_currency,fundamentals_exchange,fundamentals_is_international,investors
CCK,"Crown Holdings, Inc.",Dataroma,4,Reduce,12.925558,12.614606,3.9384546,N/A,109.48,75.98,37.12,4.84,104.18,102.97,1172000000,6600999936,N/A,5428999936,12124009472,0.88,1.05,Consumer Cyclical,Packaging & Containers,United States,USD,NYQ,False,"Meridian Contrarian Fund, Christopher Davis, Jensen Investment Management, Thomas Gayner"
CCL,Carnival Corporation & plc,Dataroma,2,Add,15.306931,10.962401,3.3023603,N/A,32.89,15.07,105.18,5.99,30.92,30.54,1928000000,27992999936,N/A,26064999936,40567042048,8.31,75.99,Consumer Cyclical,Travel Services,United States,USD,NYQ,False,"Lee Ainslie, Sarah Ketterer"
CCS,"Century Communities, Inc.",Dataroma,1,Add,8.591836,9.202186,0.6717881,N/A,81.1,50.42,16.9,27.32,58.94,59.35,130075000,1662973952,N/A,1532898952,1749326336,13.81,92.9,Real Estate,Real Estate - Development,United States,USD,NYQ,False,First Eagle Investment Management
CCU,Compañía Cervecerías Unidas S.A.,Dataroma,1,Add,15.45122,14.967514,0.0031618718,N/A,15.75,11.19,13.23,19.56,12.67,12.76,N/A,N/A,N/A,N/A,2350550272,0.0,14.12,Consumer Defensive,Beverages - Brewers,Chile,USD,NYQ,False,First Eagle Investment Management
CDE,"Coeur Mining, Inc.",Dataroma,1,Reduce,24.71831,12.204451,3.6433463,N/A,23.62,4.58,283.19,25.7,17.55,17.83,266342000,376584992,N/A,110242992,11270695936,1.48,80.88,Basic Materials,Gold,United States,USD,NYQ,False,First Eagle Investment Management
CDLX,"Cardlytics, Inc.",Dataroma,1,Reduce,N/A,-3.6521342,-12.873564,N/A,4.045,0.852,31.46,72.31,1.12,1.15,43961000,221432992,N/A,177471992,60543336,2.95,42.37,Communication Services,Advertising Agencies,United States,USD,NGM,False,Clifford Sosin
CDNS,"Cadence Design Systems, Inc.",Dataroma,2,Add,79.99999,38.546696,16.251308,N/A,376.45,221.56,40.1,17.55,310.4,312.58,2930040064,2479141888,N/A,-450898176,84580892672,0.29,92.01,Technology,Software - Application,United States,USD,NMS,False,"AKO Capital, Jensen Investment Management"
CDP,COPT Defense Properties,Dataroma,1,Add,20.825756,20.825756,2.0559418,N/A,31.24,23.92,14.92,12.0,27.49,27.8,23967000,2490091008,N/A,2466124008,3178217728,0.28,1.12,Real Estate,REIT - Office,United States,USD,NYQ,False,Christopher Davis
CDTX,"Cidara Therapeutics, Inc.",Dataroma,1,Buy,N/A,-35.138004,15.350371,N/A,221.2,15.22,1352.23,0.08,221.03,220.89,420020992,1984000,N/A,-418036992,6950577152,0.46,1.04,Healthcare,Biotechnology,United States,USD,NCM,False,Lee Ainslie
CDW,CDW Corporation,Dataroma,2,Add,16.834387,12.599349,6.8318715,N/A,222.92,132.98,0.14,40.27,133.16,136.2,452900000,6088600064,N/A,5635700064,17452048384,0.38,99.12,Technology,Information Technology Services,United States,USD,NMS,False,"Tom Bancroft, David Rolfe"
CE,Celanese Corporation,Dataroma,1,Hold,N/A,7.5877557,1.1676083,N/A,75.84,35.13,20.01,44.41,42.16,42.28,1440000000,13203999744,N/A,11763999744,4616726528,0.44,1.04,Basic Materials,Chemicals,United States,USD,NYQ,False,Dodge & Cox
CECO,CECO Environmental Corp.,Dataroma,2,Add,41.81119,40.353115,6.891425,N/A,63.98,17.57,240.3,6.55,59.79,59.85,32787000,247952992,N/A,215165992,2130977280,18.17,82.73,Industrials,Pollution & Treatment Controls,United States,USD,NMS,False,"First Eagle Investment Management, Polen Capital Management"
CEG,Constellation Energy Corporation,Dataroma,2,Add,42.001144,32.046993,7.9701,N/A,412.7,161.35,126.99,11.26,366.25,353.27,3959000064,9036999680,N/A,5077999616,114418540544,0.25,85.07,Utilities,Utilities - Independent Power Producers,United States,USD,NMS,False,"Polen Capital Management, Torray Funds"
CELH,"Celsius Holdings, Inc.",Dataroma,1,Buy,397.9167,30.86739,10.231413,N/A,66.74,21.1,126.3,28.45,47.75,45.74,805955008,894902976,N/A,88947968,12309248000,36.25,63.56,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,NCM,False,Lee Ainslie
CENTA,Central Garden & Pet Company,Dataroma,1,Reduce,11.356863,9.753173,1.1499821,N/A,37.35,25.97,11.51,22.46,28.96,29.19,882488000,1440306944,N/A,557818944,1839042816,3.66,97.88,Consumer Defensive,Packaged Foods,United States,USD,NMS,False,Robert Olstein
CENX,Century Aluminum Company,Dataroma,1,Add,48.738094,6.9744463,5.1516294,N/A,41.5,13.05,213.72,1.35,40.94,39.18,151400000,618499968,N/A,467099968,3821420032,39.5,64.04,Basic Materials,Aluminum,United States,USD,NMS,False,First Eagle Investment Management
CERT,"Certara, Inc.",Dataroma,1,Hold,124.85714,15.983029,1.3083832,N/A,15.69,8.025,8.91,44.3,8.74,8.81,172711008,309199008,N/A,136488000,1392049152,2.51,1.16,Healthcare,Health Information Services,United States,USD,NMS,False,Meridian Contrarian Fund
CET,Central Securities Corporation,Dataroma,1,Hold,6.791165,-390.23077,0.8802859,N/A,52.44,40.24,26.07,3.26,50.73,50.71,118588,2832848,N/A,2714260,1467906816,41.96,14.26,Financial Services,Asset Management,United States,USD,ASE,False,Third Avenue Management
CEVA,"CEVA, Inc.",Dataroma,1,Hold,N/A,34.77047,2.0037537,N/A,38.94,18.23,22.98,42.42,22.42,21.52,152058000,3778000,N/A,-148280000,605739136,3.03,86.28,Technology,Semiconductors,United States,USD,NMS,False,Meridian Contrarian Fund
CFG,"Citizens Financial Group, Inc.",Dataroma,3,Buy,16.635855,11.811383,1.0803682,N/A,60.1,32.6,82.18,1.18,59.39,58.41,13064999936,11393000448,N/A,-1671999488,25617815552,0.73,98.17,Financial Services,Banks - Regional,United States,USD,NYQ,False,"David Tepper, Sarah Ketterer, Robert Olstein"
CFRHF,Compagnie Financière Richemont SA,Dataroma,1,Reduce,27.78637,29.202478,4.7785254,N/A,225.8,149.58,41.74,6.11,212.01,214.99,16668999680,14812999680,N/A,-1856000000,126794014720,0.56,45.61,Consumer Cyclical,Luxury Goods,Switzerland,USD,PNK,False,Thomas Russo
CFRUY,Compagnie Financière Richemont SA,Dataroma,1,Hold,28.644737,26.91642,0.49067733,N/A,22.0,14.82,46.9,1.05,21.77,21.53,16668999680,14812999680,N/A,-1856000000,127994609664,0.0,0.19,Consumer Cyclical,Luxury Goods,Switzerland,USD,PNK,False,Steven Romick
CG,The Carlyle Group Inc.,Dataroma,3,Reduce,34.191013,12.6776085,3.900282,N/A,69.85,33.02,84.31,12.87,60.86,59.11,3259000064,12663300096,N/A,9404300032,22013360128,25.34,65.93,Financial Services,Asset Management,United States,USD,NMS,False,"John Rogers, Bill Miller, Thomas Gayner"
CGAU,Centerra Gold Inc.,Dataroma,1,Add,8.782609,9.563877,1.4701601,N/A,15.47,5.41,161.37,8.6,14.14,14.37,568227968,17622000,N/A,-550605968,2857479936,0.18,96.55,Basic Materials,Gold,Canada,USD,NYQ,False,Sarah Ketterer
CGEN,Compugen Ltd.,Dataroma,1,Hold,N/A,-4.9206347,3.304904,N/A,2.66,1.13,37.17,41.73,1.55,1.53,86088000,2946000,N/A,-83142000,145906080,2.03,13.66,Healthcare,Biotechnology,Israel,USD,NCM,False,David Katz
CGNX,Cognex Corporation,Dataroma,2,Buy,56.815388,31.910757,4.153639,N/A,49.76,22.67,62.9,25.78,36.93,35.98,300265984,78925000,N/A,-221340984,6189395968,0.28,1.04,Technology,Scientific & Technical Instruments,United States,USD,NMS,False,"Glenn Welling, Mairs & Power Growth Fund"
CHCT,Community Healthcare Trust Incorporated,Dataroma,1,Add,N/A,40.825,1.0311947,N/A,20.87,13.23,23.43,21.75,16.33,16.42,10963000,534152992,N/A,523189992,464938336,5.87,81.42,Real Estate,REIT - Healthcare Facilities,United States,USD,NYQ,False,Christopher Davis
CHD,"Church & Dwight Co., Inc.",Dataroma,3,Buy,26.069399,22.090763,4.698391,N/A,116.46,81.33,1.61,29.04,82.64,83.85,305300000,2400999936,N/A,2095699936,20131823616,0.19,90.86,Consumer Defensive,Household & Personal Products,United States,USD,NYQ,False,"Lee Ainslie, Terry Smith, Jensen Investment Management"
CHEF,"The Chefs' Warehouse, Inc.",Dataroma,2,Buy,36.063583,29.365944,4.4007897,N/A,68.94,45.0,38.64,9.5,62.39,62.33,65061000,954118976,N/A,889057976,2543182080,11.23,97.02,Consumer Defensive,Food Distribution,United States,USD,NMS,False,"First Eagle Investment Management, Polen Capital Management"
CHH,"Choice Hotels International, Inc.",Dataroma,2,Buy,11.849568,13.552256,29.469488,N/A,157.86,84.04,14.35,39.12,96.1,94.9725,52583000,2028285952,N/A,1975702952,4446798336,42.43,67.97,Consumer Cyclical,Lodging,United States,USD,NYQ,False,"Lee Ainslie, Thomas Gayner"
CHKEL,CHKEL,Dataroma,1,Hold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True,Howard Marks
CHKP,Check Point Software Technologies Ltd.,Dataroma,1,Buy,19.87157,17.14775,6.310304,N/A,234.36,178.64,1.34,22.76,181.03,185.56,1468999936,0,N/A,-1468999936,19434424320,23.18,72.51,Technology,Software - Infrastructure,Israel,USD,NMS,False,Harry Burn
CHRD,Chord Energy Corporation,Dataroma,1,Hold,31.986486,13.385113,0.6668357,N/A,129.32,79.83,18.6,26.79,94.68,92.7,629208000,1509219968,N/A,880011968,5421197312,0.94,99.12,Energy,Oil & Gas E&P,United States,USD,NMS,False,Bill Miller
CHRW,"C.H. Robinson Worldwide, Inc.",Dataroma,2,Reduce,33.1417,27.313251,10.439995,N/A,167.9,84.68,93.34,2.49,163.72,160.76,136836992,1502418048,N/A,1365581056,19341418496,0.81,1.01,Industrials,Integrated Freight & Logistics,United States,USD,NMS,False,"First Eagle Investment Management, Mairs & Power Growth Fund"
CHTR,"Charter Communications, Inc.",Dataroma,9,Add,5.8036604,4.874446,1.7654948,N/A,437.06,193.0,8.44,52.12,209.28,208.75,464000000,97530003456,N/A,97066003456,28585762816,37.36,86.57,Communication Services,Telecom Services,United States,USD,NMS,False,"Ruane Cunniff, Bill Nygren, Tom Bancroft, Warren Buffett, Triple Frond Partners, First Eagle Investment Management, Wallace Weitz, Dodge & Cox, Steven Romick"
CHWY,"Chewy, Inc.",Dataroma,3,Buy,68.34694,21.507519,29.584808,N/A,48.62,29.825,12.29,31.12,33.49,33.05,701500032,558899968,N/A,-142600064,13898302464,2.46,95.53,Consumer Cyclical,Internet Retail,United States,USD,NYQ,False,"Lee Ainslie, Viking Global Investors, Polen Capital Management"
CHYM,"Chime Financial, Inc.",Dataroma,2,Buy,N/A,33.0,6.848249,N/A,44.94,16.17,63.27,41.26,26.4,25.17,1187760000,137763008,N/A,-1049996992,9888859136,11.69,82.44,Technology,Software - Application,United States,USD,NMS,False,"Chase Coleman, Christopher Davis"
CI,The Cigna Group,Dataroma,4,Add,12.361382,9.161385,1.7800112,N/A,350.0,239.51,16.54,20.25,279.12,275.23,6908000256,34040000512,N/A,27132000256,74560159744,1.59,90.84,Healthcare,Healthcare Plans,United States,USD,NYQ,False,"David Einhorn, Leon Cooperman, Christopher Davis, Dodge & Cox"
CIEN,Ciena Corporation,Dataroma,2,Buy,286.11627,35.728756,12.712995,N/A,248.5,49.21,400.02,0.98,246.06,233.87,1308099968,1626898944,N/A,318798976,34708213760,0.98,1.02,Technology,Communication Equipment,United States,USD,NYQ,False,"Stephen Mandel, First Eagle Investment Management"
CIGI,Colliers International Group Inc.,Dataroma,1,Hold,62.865803,19.316204,5.1272817,N/A,171.51,100.86,43.98,15.33,145.22,147.01,277641984,2508033024,N/A,2230391040,7397698560,10.84,81.34,Real Estate,Real Estate Services,Canada,USD,NMS,False,Prem Watsa
CIR.MI,CIR S.p.A. - Compagnie Industriali Riunite,Dataroma,1,Hold,6.545455,12.0120125,0.7938258,N/A,0.74,0.483,49.07,2.7,0.72,0.703,392327008,1085586944,N/A,693259936,621996352,41.73,19.51,Consumer Cyclical,Auto Parts,Italy,EUR,MIL,True,Thomas Russo
CL,Colgate-Palmolive Company,Dataroma,5,Buy,21.761906,20.23973,73.15443,N/A,100.18,74.55,4.21,22.45,77.69,79.02,1472000000,8418999808,N/A,6946999808,62790676480,0.16,86.75,Consumer Defensive,Household & Personal Products,United States,USD,NYQ,False,"Lee Ainslie, First Eagle Investment Management, Lindsell Train, Jensen Investment Management, Yacktman Asset Management"
CLB,Core Laboratories Inc.,Dataroma,1,Add,24.926472,22.700792,2.8787365,N/A,20.82,9.72,74.38,18.59,16.95,16.03,25629000,167102000,N/A,141473000,794850624,1.02,1.13,Energy,Oil & Gas Equipment & Services,United States,USD,NYQ,False,John Rogers
CLF,Cleveland-Cliffs Inc.,Dataroma,1,Hold,N/A,61.380154,1.2308807,N/A,16.7,5.63,141.56,18.56,13.6,13.28,66000000,8061000192,N/A,7995000192,7748021760,1.41,69.59,Basic Materials,Steel,United States,USD,NYQ,False,Prem Watsa
CLFD,"Clearfield, Inc.",Dataroma,1,Hold,65.53333,17.347057,1.5932789,N/A,46.76,23.78,24.01,36.93,29.49,29.15,105977000,8757000,N/A,-97220000,408114944,19.07,63.97,Technology,Communication Equipment,United States,USD,NGM,False,Mairs & Power Growth Fund
CLS,Celestica Inc.,Dataroma,2,Buy,49.250813,35.972633,17.142857,N/A,363.4,58.05,420.93,16.79,302.4,295.61,307500000,787200000,N/A,479700000,34787074048,0.59,73.91,Technology,Electronic Components,Canada,USD,NYQ,False,"Viking Global Investors, Sarah Ketterer"
CLX,The Clorox Company,Dataroma,4,Buy,15.832026,14.925903,-557.1823,N/A,164.22,96.66,4.33,38.59,100.85,100.83,166000000,3078000128,N/A,2912000128,12301720576,0.6,88.96,Consumer Defensive,Household & Personal Products,United States,USD,NYQ,False,"Lee Ainslie, Terry Smith, Jensen Investment Management, Yacktman Asset Management"
CMA,Comerica Incorporated,Dataroma,2,Buy,16.950287,16.293499,1.6073177,N/A,90.44,48.12,84.23,1.98,88.65,86.93,5305999872,5779999744,N/A,473999872,11328949248,0.71,91.56,Financial Services,Banks - Regional,United States,USD,NYQ,False,"Third Avenue Management, David Tepper"
CMC,Commercial Metals Company,Dataroma,1,Add,97.01351,11.037925,1.9036887,N/A,72.06,37.92,89.32,0.37,71.79,69.22,1043251968,1528173952,N/A,484921984,7972131840,1.03,95.21,Basic Materials,Steel,United States,USD,NYQ,False,First Eagle Investment Management
CMCSA,Comcast Corporation,Dataroma,11,Add,4.9069767,7.120904,1.1119895,N/A,38.4,25.75,14.72,23.07,29.54,29.89,9324999680,99062996992,N/A,89737997312,109067788288,0.73,88.89,Communication Services,Telecom Services,United States,USD,NMS,False,"Glenn Greenberg, First Eagle Investment Management, Kahn Brothers Group, Thomas Russo, Yacktman Asset Management, Thomas Gayner, Robert Olstein, Dodge & Cox, David Katz, Steven Romick, Hillman Value Fund"
CME,CME Group Inc.,Dataroma,4,Add,26.106485,23.148973,3.4424744,N/A,290.79,224.62,20.06,7.26,269.68,273.08,2569999872,3769499904,N/A,1199500032,97246543872,0.44,91.84,Financial Services,Financial Data & Stock Exchanges,United States,USD,NMS,False,"Lindsell Train, John Armitage, Thomas Gayner, William Von Mueffling"
CMG,"Chipotle Mexican Grill, Inc.",Dataroma,2,Add,33.176994,30.882402,15.427984,N/A,59.93,29.75,26.02,37.44,37.49,37.0,1421273984,4980116992,N/A,3558843008,50269782016,0.59,90.34,Consumer Cyclical,Restaurants,United States,USD,NYQ,False,"Viking Global Investors, Bill Ackman"
CMI,Cummins Inc.,Dataroma,3,Reduce,27.020187,19.944725,5.9730883,N/A,526.5,260.02,100.77,0.85,522.03,510.45,3159000064,8245000192,N/A,5086000128,72059068416,0.32,87.2,Industrials,Specialty Industrial Machinery,United States,USD,NYQ,False,"Christopher Bloomstran, First Eagle Investment Management, Robert Olstein"
CMPO,"CompoSecure, Inc.",Dataroma,1,Reduce,N/A,16.706936,15.303278,N/A,26.78,9.244,101.97,30.28,18.67,19.28,127362000,0,N/A,-127362000,2360096512,46.6,50.87,Industrials,Metal Fabrication,United States,USD,NYQ,False,Polen Capital Management
CNA,CNA Financial Corporation,Dataroma,1,Add,12.80601,9.764583,1.1204876,N/A,51.34,43.29,8.27,8.71,46.87,47.74,2740999936,3470000128,N/A,729000192,12686142464,0.36,1.0,Financial Services,Insurance - Property & Casualty,United States,USD,NYQ,False,Torray Funds
CNC,Centene Corporation,Dataroma,2,Add,N/A,14.4464,0.980107,N/A,66.81,25.08,66.59,37.46,41.78,41.15,19236999168,17582999552,N/A,-1653999616,20535621632,0.45,96.69,Healthcare,Healthcare Plans,United States,USD,NYQ,False,"Bill Nygren, David Einhorn"
CNDT,Conduent Incorporated,Dataroma,1,Add,N/A,Infinity,0.41001296,N/A,4.9,1.72,10.47,61.22,1.9,1.92,248000000,882000000,N/A,634000000,300150624,9.99,75.97,Technology,Information Technology Services,United States,USD,NMS,False,Bill Miller
CNH,CNH Industrial N.V.,Dataroma,3,Reduce,19.479168,16.697027,1.5073352,N/A,14.27,9.0,3.89,34.48,9.35,9.22,1568000000,27466999808,N/A,25898999808,11695168512,30.05,72.07,Industrials,Farm & Heavy Construction Machinery,United Kingdom,USD,NYQ,False,"Mason Hawkins, David Einhorn, Tweedy Browne Co."
CNI,Canadian National Railway Company,Dataroma,3,Buy,18.643124,16.845465,3.9954946,N/A,108.75,90.74,10.54,7.77,100.3,98.85,226000000,21621999616,N/A,21395999616,62832672768,2.72,73.68,Industrials,Railroads,Canada,USD,NYQ,False,"Bill & Melinda Gates Foundation Trust, Chris Hohn, Thomas Gayner"
CNM,"Core & Main, Inc.",Dataroma,1,Hold,23.425438,20.597048,5.1257195,N/A,67.18,43.175,23.71,20.5,53.41,51.97,105000000,2456000000,N/A,2351000000,10544471040,0.56,1.18,Industrials,Industrial Distribution,United States,USD,NYQ,False,Meridian Contrarian Fund
CNO,"CNO Financial Group, Inc.",Dataroma,1,Hold,14.452055,9.732472,1.5490218,N/A,44.01,34.63,21.86,4.11,42.2,42.47,1515200000,4051200000,N/A,2536000000,4090527744,2.2,96.44,Financial Services,Insurance - Life,United States,USD,NYQ,False,FPA Queens Road Small Cap Value Fund
CNQ,Canadian Natural Resources Limited,Dataroma,1,Reduce,14.857143,15.72811,2.4263518,N/A,35.12,24.65,39.23,2.28,34.32,33.85,113000000,18717999104,N/A,18604999104,71541784576,2.18,75.02,Energy,Oil & Gas E&P,Canada,USD,NYQ,False,Yacktman Asset Management
CNR,"Core Natural Resources, Inc.",Dataroma,3,Hold,N/A,11.712051,1.2183354,N/A,109.61,58.19,54.48,17.99,89.89,88.51,444672000,418308000,N/A,-26364000,4626775040,1.89,92.21,Energy,Thermal Coal,United States,USD,NYQ,False,"David Einhorn, Bruce Berkowitz, Guy Spier"
CNSWF,Constellation Software Inc.,Dataroma,3,Reduce,72.457954,N/A,14.372346,N/A,3998.72,2235.0,5.27,41.16,2352.71,2399.74,2804000000,5441999872,N/A,2637999872,49857523712,2.12,39.29,Technology,Software - Application,Canada,USD,PNK,False,"Ruane Cunniff, Wallace Weitz, Torray Funds"
CNX,CNX Resources Corporation,Dataroma,1,Add,22.09697,13.531468,1.2038168,N/A,42.13,27.0,35.04,13.46,36.46,36.77,4735000,2778482944,N/A,2773747944,5262703104,4.77,1.03,Energy,Oil & Gas E&P,United States,USD,NYQ,False,Mason Hawkins
CNXC,Concentrix Corporation,Dataroma,1,Hold,8.730932,3.3631947,0.59013903,N/A,66.0,31.625,30.31,37.56,41.21,41.58,350259008,5746508800,N/A,5396249792,2597265152,15.88,1.01,Technology,Information Technology Services,United States,USD,NMS,False,FPA Queens Road Small Cap Value Fund
COCO,"The Vita Coco Company, Inc.",Dataroma,1,Buy,46.486958,32.73068,9.403694,N/A,55.29,25.79,107.29,3.31,53.46,53.01,203704992,14782000,N/A,-188922992,3044453632,9.54,90.77,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,NMS,False,Lee Ainslie
COCXF,Chocoladefabriken Lindt & Sprüngli AG,Dataroma,1,Hold,31.130318,N/A,4.177384,N/A,141037.48,109000.0,0.0,22.72,109000.0,112800.0,272600000,1693600000,N/A,1421000000,33952954368,18.74,28.23,Consumer Defensive,Confectioners,Switzerland,USD,PNK,False,Thomas Russo
COF,Capital One Financial Corporation,Dataroma,17,Add,84.617744,11.896291,1.4539558,N/A,249.74,143.22,73.11,0.72,247.93,242.36,56923000832,54504001536,N/A,-2418999296,158555521024,1.81,87.64,Financial Services,Credit Services,United States,USD,NYQ,False,"Ruane Cunniff, Bill Nygren, Francois Rochon, Lee Ainslie, Viking Global Investors, Daniel Loeb, Glenn Greenberg, Stephen Mandel, Warren Buffett, Clifford Sosin, John Armitage, Christopher Davis, Harry Burn, Thomas Gayner, Richard Pzena, Dodge & Cox, David Katz"
COIN,"Coinbase Global, Inc.",Dataroma,1,Reduce,20.443388,34.77186,3.9670267,N/A,444.65,142.58,65.89,46.81,236.53,226.14,9769669632,7780648960,N/A,-1989020672,63782113280,1.07,66.69,Financial Services,Financial Data & Stock Exchanges,United States,USD,NMS,False,Samantha McLemore
COLD,"Americold Realty Trust, Inc.",Dataroma,1,Buy,N/A,68.10526,1.2152517,N/A,23.52,10.1,28.12,44.98,12.94,12.86,36089000,4292512000,N/A,4256423000,3698117632,0.05,1.13,Real Estate,REIT - Industrial,United States,USD,NYQ,False,Seth Klarman
COLL,"Collegium Pharmaceutical, Inc.",Dataroma,1,Hold,27.932514,5.682442,5.23574,N/A,50.787,23.23,96.0,10.35,45.53,46.3,285863008,936268032,N/A,650405024,1439247744,1.58,1.2,Healthcare,Drug Manufacturers - Specialty & Generic,United States,USD,NMS,False,Third Avenue Management
COO,"The Cooper Companies, Inc.",Dataroma,1,Add,43.374332,16.406673,1.9285731,N/A,100.24,61.78,31.29,19.08,81.11,81.96,110600000,2783600128,N/A,2673000128,16125391872,0.62,1.07,Healthcare,Medical Instruments & Supplies,United States,USD,NMS,False,Torray Funds
COOP-OLD,COOP-OLD,Dataroma,3,Hold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,"Daniel Loeb, ValueAct Capital, Leon Cooperman"
COP,ConocoPhillips,Dataroma,4,Add,13.658192,15.521096,1.8405374,N/A,106.2,79.88,21.06,8.95,96.7,93.61,6256000000,23481999360,N/A,17225999360,120772722688,0.07,84.15,Energy,Oil & Gas E&P,United States,USD,NYQ,False,"Bill Nygren, Christopher Davis, Yacktman Asset Management, Dodge & Cox"
COR,"Cencora, Inc.",Dataroma,1,Reduce,42.571606,17.385517,43.57896,N/A,377.54,227.95,48.66,10.24,338.87,337.75,4356137984,9331176448,N/A,4975038464,65738555392,4.22,96.73,Healthcare,Medical Distribution,United States,USD,NYQ,False,Viking Global Investors
CORT,Corcept Therapeutics Incorporated,Dataroma,1,Add,43.908047,55.202316,6.3550158,N/A,117.33,32.99,15.79,67.44,38.2,34.8,421683008,6358000,N/A,-415325008,4025200128,11.57,75.47,Healthcare,Biotechnology,United States,USD,NCM,False,Polen Capital Management
